Intel(R) Parallel Studio XE 2020 Update 4 for Linux*
Copyright 2009-2020 Intel Corporation.
Running on host compute244.bc4.acrc.priv
Started on Thu Dec  8 17:07:38 GMT 2022
Directory is /user/home/ig20411/ForestFireProject
Slurm job ID is 11006287
This jobs runs on the following machines:
compute244


10,0,1,1,1
10,0.05,1,1,3
10,0.1,1,1,3
10,0.15,2,1,5
10,0.2,2,1,6
10,0.25,3,1,9
10,0.3,3,1,12
10,0.35,4,1,12
10,0.4,5,2,14
10,0.45,6,2,28
10,0.5,9,2,22
10,0.55,11,2,27
10,0.6,13,2,31
10,0.65,15,5,26
10,0.7,15,6,24
10,0.75,15,2,26
10,0.8,14,12,20
10,0.85,13,12,19
10,0.9,13,12,15
10,0.95,12,11,14
10,1,11,11,11

110,0,1,1,1
110,0.05,2,2,6
110,0.1,3,2,6
110,0.15,3,2,7
110,0.2,4,3,12
110,0.25,5,3,17
110,0.3,8,4,16
110,0.35,10,5,23
110,0.4,13,7,26
110,0.45,19,7,45
110,0.5,32,11,74
110,0.55,67,20,211
110,0.6,207,38,372
110,0.65,191,164,244
110,0.7,160,149,197
110,0.75,144,138,168
110,0.8,135,131,143
110,0.85,127,125,133
110,0.9,122,120,127
110,0.95,117,116,120
110,1,111,111,111



Ended on: Thu Dec  8 17:07:43 GMT 2022
