Intel(R) Parallel Studio XE 2020 Update 4 for Linux*
Copyright 2009-2020 Intel Corporation.
Running on host compute165.bc4.acrc.priv
Started on Fri Dec  9 13:48:30 GMT 2022
Directory is /user/home/ig20411/ForestFireProject
Slurm job ID is 11009549
This jobs runs on the following machines:
compute[165,170,242]


100,0,1,1,1
100,0,1,1,1
100,0,1,1,1
100,0.05,2,2,3
100,0.1,3,2,4
100,0.15,3,2,5
100,0.2,5,3,8
100,0.25,5,3,8
100,0.3,7,4,11
100,0.35,10,6,16
100,0.4,12,7,19
100,0.45,16,8,28
100,0.5,27,15,40
100,0.55,73,39,158
100,0.6,200,91,276
100,0.65,171,153,196
100,0.7,146,138,180
100,0.75,131,128,135
100,0.8,123,120,130
100,0.85,116,115,120
100,0.9,112,110,115
100,0.95,107,106,108
100,1,101,101,101

100,0.05,2,2,3
100,0.1,3,2,4
100,0.15,3,2,5
100,0.2,5,3,8
100,0.25,5,3,8
100,0.3,7,4,11
100,0.35,10,6,16
100,0.4,12,7,19
100,0.45,16,8,28
100,0.5,27,15,40
100,0.55,73,39,158
100,0.6,200,91,276
100,0.65,171,153,196
100,0.7,146,138,180
100,0.75,131,128,135
100,0.8,123,120,130
100,0.85,116,115,120
100,0.9,112,110,115
100,0.95,107,106,108
100,1,101,101,101

100,0.05,2,2,3
100,0.1,3,2,4
100,0.15,3,2,5
100,0.2,5,3,8
100,0.25,5,3,8
100,0.3,7,4,11
100,0.35,10,6,16
100,0.4,12,7,19
100,0.45,16,8,28
100,0.5,27,15,40
100,0.55,73,39,158
100,0.6,200,91,276
100,0.65,171,153,196
100,0.7,146,138,180
100,0.75,131,128,135
100,0.8,123,120,130
100,0.85,116,115,120
100,0.9,112,110,115
100,0.95,107,106,108
100,1,101,101,101



Ended on: Fri Dec  9 13:48:31 GMT 2022
