Intel(R) Parallel Studio XE 2020 Update 4 for Linux*
Copyright 2009-2020 Intel Corporation.
Running on host compute521.bc4.acrc.priv
Started on Fri Dec  9 14:06:29 GMT 2022
Directory is /user/home/ig20411/ForestFireProject
Slurm job ID is 11009608
This jobs runs on the following machines:
compute[521,523-525]


100,0,1,1,1
100,0.05,2,2,3
100,0.1,3,2,4
100,0.15,3,2,6
100,0.2,4,2,6
100,0.35,10,6,19
100,0.4,13,9,21
100,0.45,16,12,25
100,0.5,33,17,55
100,0.55,70,33,155
100,0.7,145,134,161
100,0.75,131,127,138
100,0.8,123,120,129
100,0.85,117,114,122
100,0.9,111,111,113
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0


Ended on: Fri Dec  9 14:06:31 GMT 2022
